"participantno","scenario","startpoint","lg_1","lg_2","lg_3","lg_4","total_length","duration_1","duration_2","duration_3","duration_4","total_duration","total_speed","num_stops_1","num_stops_2","num_stops_3","num_stops_4","total_walkingstops","stops_duration_1","stops_duration_2","stops_duration_3","stops_duration_4","total_walkingstop_duration"
38,3,"w",253.741517271075,97.5112570666056,234.505925262738,587.408904182676,1173.1676037831,193,95,164,376,828,1.41686908669456,9,15,14,11,49,65.529,20.653,14.791,17.295,118.268
38,4,"n",128.930123884685,86.940021791248,460.007700925587,333.21616195416,1009.09400855568,96,90,339,190,715,1.41132029168627,10,9,19,13,51,18.7,13.071,59.157,18.94,109.868
39,1,"n",64.8965140003262,223.48438304053,126.517616962863,182.091722426344,596.990236430062,32,113,64,82,291,2.05151283996585,6,7,3,3,19,6.873,24.331,16.834,13.577,61.615
39,2,"e",236.463125459875,83.7306979483178,153.489082291279,243.333571520962,717.016477220434,109,46,66,138,359,1.99726038222962,7,2,3,5,17,0.038,0.066,2.024,31.979,34.107
39,3,"s",160.062596773078,164.677623800087,173.262887008733,180.285855035641,678.28896261754,108,109,83,109,409,1.65840822155878,13,10,6,13,42,29.652,35.38,10.978,23.181,99.191
39,4,"w",162.379593121441,275.555252820554,367.644553847169,171.541601834025,977.121001623189,90,148,203,76,517,1.88998259501584,12,8,10,3,33,20.299,26.739,8.606,3.809,59.453
40,1,"w",115.795415005031,130.82765450584,273.134636688508,197.142663178385,716.900369377764,52,53,155,87,347,2.06599530080047,3,2,15,4,24,7.972,2.113,56.052,4.947,71.084
40,2,"n",230.894274474449,122.843008127038,225.443838504079,145.914453026445,725.095574132011,99,67,134,75,375,1.93358819768536,5,8,6,4,23,12.371,15.512,27.625,21.924,77.432
40,3,"e",174.275221454093,162.755598091047,90.9753416615954,104.334642559131,532.340803765867,98,88,60,71,317,1.67930852922986,9,6,4,7,26,0.019,0.01,0.008,2.442,2.479
40,4,"s",84.0216769831237,264.024572936554,39.4269571391028,53.2272200995003,440.700427158281,73,154,29,46,302,1.4592729376102,12,13,5,5,35,28.726,24.464,11.064,8.764,73.018
41,1,"e",224.462825545171,213.753539392796,82.9514259319692,249.674330185132,770.842121055068,120,106,81,127,434,1.77613391948172,10,2,8,10,30,1.519,27.3,0.067,0.228,29.114
41,2,"s",299.178064088809,139.058953696501,66.3219963210819,44.2597810563207,548.818795162713,151,103,48,62,364,1.50774394275471,4,5,4,3,16,25.505,47.552,23.34,42.711,139.108
41,3,"n",179.049888207752,194.20779428803,191.233855589645,51.5880537403145,616.079591825741,117,131,119,59,426,1.44619622494305,9,10,12,6,37,29.542,34.77,35.749,28.377,128.438
41,4,"w",189.022407664308,344.984339957087,258.31357286254,157.858180311026,950.178500794962,115,187,133,78,513,1.85219980661786,8,9,6,6,29,34.362,31.467,1.462,18.864,86.155
42,1,"n",69.1212390205374,166.811395383145,118.880101423299,174.627634146392,529.440369973374,38,73,60,68,239,2.21523167352876,5,2,3,4,14,8.456,15.028,17.295,0.434,41.213
42,2,"e",239.440762029725,79.753919879479,141.712020055871,116.600559893838,577.507261858913,97,48,69,60,274,2.10769073671136,3,2,1,5,11,0.032,0.097,0.001,1.018,1.148
42,3,"s",141.023458654926,113.623575906371,67.52359052356,163.19372802565,485.364353110507,60,69,36,81,246,1.97302582565247,2,6,6,3,17,9.449,15.286,6.38,13.831,44.946
42,4,"w",171.589346472378,284.081363935801,196.583192955914,161.834971524953,814.088874889047,90,123,110,66,389,2.09277345729832,4,7,7,5,23,5.393,7.592,8.298,3.088,24.371
43,1,"w",122.850283962408,612.453753779059,36.2202442662766,102.191660523632,873.715942531376,58,265,26,82,431,2.0271831613257,3,6,2,4,15,10.187,1.521,0.002,21.032,32.742
43,2,"n",215.092716004548,90.4780458592395,184.977210431931,186.809914139823,677.357886435541,103,50,82,96,331,2.04639844844574,5,1,6,2,14,25.831,16.937,0.005,2.049,44.822
43,3,"e",212.070378535622,220.656719471062,60.3877915271506,107.576812127138,600.691701660973,117,201,57,76,451,1.33191064669839,10,18,5,8,41,0.014,8.014,1.43,22.036,31.494
43,4,"s",247.333544074747,169.242790912049,35.8975172085056,97.9477059074028,550.421558102704,136,88,35,60,319,1.72545942978904,4,2,5,4,15,15.829,0.002,0.008,0.009,15.848
44,1,"s",76.9058081522697,252.920691305968,41.6136349336866,56.5561144765692,427.996248868494,78,131,36,63,308,1.38959821061199,7,8,2,3,20,39.641,29.354,16.227,35.598,120.82
44,2,"w",246.563571284126,168.766643634147,123.86772800438,157.794999171835,696.992942094488,108,83,72,96,359,1.94148451836905,5,8,3,3,19,20.467,0.214,5.472,21.561,47.714
44,3,"n",145.759886248204,183.118815838932,205.481592061524,170.729381893471,705.089676042131,98,112,107,82,399,1.76714204521837,6,9,6,8,29,25.657,29.559,15.414,13.211,83.841
44,4,"e",143.319807301863,131.252703051137,80.5644717413932,137.216264441249,492.353246535643,111,89,68,108,376,1.30945012376501,7,7,6,10,30,0.018,0.064,4.94,7.711,12.733
45,1,"n",66.6822411011991,167.74471372289,214.572422619378,258.815702481966,707.815079925434,43,71,90,110,314,2.25418815262877,3,6,6,5,20,15.959,9.1,11.608,9.162,45.829
45,2,"e",539.931972529061,95.3208273596514,80.6244910801427,129.750223448966,845.627514417822,217,43,32,49,341,2.47984608333672,6,4,4,5,19,8.677,2.452,1.954,2.885,15.968
45,3,"s",153.795957429832,123.342809369488,548.83181260507,93.4246509599359,919.395230364326,69,65,232,48,414,2.22076142600079,7,8,15,6,36,2.789,10.565,12.038,4.754,30.146
45,4,"w",165.035485714779,327.024367498828,172.592616175805,165.443055083456,830.095524472868,72,134,78,65,349,2.37849720479332,6,4,5,4,19,1.987,0.008,5.775,0.176,7.946
46,1,"s",76.5292284676056,189.122475040505,180.875056467298,79.4179679884105,525.944727963819,38,92,82,35,247,2.12933088244461,2,7,4,2,15,8.516,16.678,12.524,4.148,41.866
46,2,"n",192.57285615714,74.0108639356428,203.268615656995,153.323182064562,623.17551781434,88,46,150,70,354,1.76038281868458,5,2,5,3,15,17.054,18.361,44.253,7.515,87.183
46,3,"e",195.995922784653,161.905627606641,58.3009516835696,113.310089665594,529.512591740458,100,87,48,59,294,1.80106323721244,10,4,3,6,23,0.019,0.008,1.584,6.031,7.642
46,4,"w",248.647143781445,471.157950109173,206.788048515778,169.182900512036,1095.77604291843,176,242,92,79,589,1.86040075198375,4,11,4,2,21,6.691,9.548,0.162,0.001,16.402
47,1,"w",115.214663963412,133.428378987436,260.168411383694,150.892801543374,659.704255877916,52,64,110,61,287,2.29862110061992,3,2,6,4,15,11.293,13.388,3.974,9.146,37.801
47,2,"s",264.861085738264,185.340598490351,68.1038488389917,98.6512646611102,616.956797728718,104,78,38,46,266,2.31938645762676,4,4,2,3,13,8.069,7.391,10.831,8.188,34.479
47,3,"n",147.227731949817,209.120673742329,202.45987941829,45.0413800836543,603.849665194091,103,108,112,25,348,1.73520018733934,13,10,8,3,34,34.24,23.517,19.71,6.037,83.504
47,4,"e",129.198438476248,130.462173704643,94.1035949665591,137.148678831684,490.912885979133,66,55,51,61,233,2.10692225742117,5,6,2,7,20,0.01,0.878,7.631,1.305,9.824
48,1,"e",213.371806132566,312.153841528479,88.668623496984,158.866567096799,773.060838254828,86,140,37,74,337,2.29394907494014,2,1,5,2,10,1.534,31.435,1.557,20.37,54.896
48,2,"w",259.388610793535,525.704490360463,167.157631698755,172.962311088446,1125.2130439412,151,203,73,89,516,2.18064543399457,1,13,2,4,20,31.356,4.041,14.837,15.306,65.54
48,3,"s",156.228969924278,112.964535601101,68.4288065776899,278.243454916157,615.865767019226,80,76,29,135,320,1.92458052193508,8,7,2,4,21,12.676,29.85,4.332,22.039,68.897
48,4,"n",63.1647856863101,370.869026060132,43.4237605377128,176.488808623124,653.94638090728,32,163,33,97,325,2.01214271048394,3,3,5,7,18,7.807,11.395,11.868,15.145,46.215
49,1,"w",143.077190834752,126.639232574831,249.03069941697,149.072087759248,667.8192105858,102,85,121,67,375,1.7808512282288,4,3,3,3,13,38.621,27.258,24.12,0.13,90.129
49,2,"n",196.933714337218,75.4202044226322,252.131016066007,170.590077146996,695.075011972853,94,40,156,82,372,1.86848121498079,4,2,8,4,18,19.857,8.921,49.794,13.579,92.151
49,3,"s",146.205557172726,276.224201790911,79.0113545461146,191.688944598966,693.130058108717,85,156,45,120,406,1.70721689189339,5,10,4,15,34,25.375,30.623,10.74,24.169,90.907
49,4,"e",186.934659089221,132.484908821552,101.661428061662,230.24912354759,651.330119520024,93,58,51,103,305,2.13550858859024,4,1,5,3,13,1.105,5.177,0.014,3.563,9.859
50,1,"s",80.2065563208531,192.830478353303,190.729196097741,235.646635855722,699.41286662762,43,92,89,96,320,2.18566520821131,4,2,4,3,13,12.554,12.061,14.839,9.652,49.106
50,2,"w",303.626378318915,213.292697795968,164.092297417856,168.794791779979,849.806165312717,144,116,99,82,441,1.92699810728507,2,10,3,1,16,33.299,1.22,17.486,20.263,72.268
50,3,"n",145.24670998113,185.667312854643,206.100434410476,52.1717575365452,589.186214782795,97,112,102,28,339,1.7380124329876,8,3,3,2,16,22.199,25.324,11.957,0.354,59.834
50,4,"e",126.490497445047,126.666944490564,95.2822699080825,139.305973070361,487.745684914055,72,67,53,73,265,1.84054975439266,9,2,5,2,18,5.281,0.003,2.613,1.08,8.977
51,1,"e",199.227774600721,239.120331499051,85.9673146725915,248.881825567723,773.197246340086,85,110,35,100,330,2.34302195860632,5,1,3,6,15,0.089,15.712,0.032,1.708,17.541
51,2,"s",365.958436406081,388.736557041476,214.849126734121,321.66661350647,1291.21073368815,176,167,78,193,614,2.10294907766799,6,2,6,9,23,25.5,32.406,0.005,5.832,63.743
51,3,"w",485.303001564031,250.581357746625,71.3287381021842,366.020258433693,1173.23335584653,221,171,79,287,758,1.54780126101126,14,11,9,30,64,14.647,26.125,30.596,65.559,136.927
51,4,"n",119.793911999905,88.4847378090355,323.03401482837,29.4966015496602,560.809266186972,78,61,183,36,358,1.56650633013121,8,8,12,2,30,17.184,19.986,19.637,23.036,79.843
52,1,"n",67.3766252316816,219.274041924827,335.74370954234,153.772579855657,776.166956554506,46,109,174,86,415,1.87028182302291,2,3,7,2,14,21.856,30.306,31.694,33.668,117.524
52,2,"e",235.413696018357,86.0280477736051,216.156054388227,306.10842758519,843.706225765379,106,55,88,131,380,2.22027954148784,3,7,2,3,15,0.002,0.101,0.002,0.001,0.106
52,3,"s",156.701879769528,125.247550203212,175.306212636299,56.7464219636936,514.002064572733,95,68,79,40,282,1.8227023566409,4,3,2,7,16,19.49,18.93,15.345,3.713,57.478
52,4,"w",180.891078112925,325.85561672046,201.680893803703,175.47221902245,883.899807659539,102,178,127,93,500,1.76779961531908,11,9,9,8,37,18.863,30.145,0.986,17.228,67.222
53,1,"s",74.7345331520221,362.421017417319,82.4681505138062,120.329560475673,639.95326155882,72,174,89,75,410,1.5608616135581,3,9,15,8,35,33.009,24.171,31.876,16.682,105.738
53,2,"w",249.973754010453,176.336910455104,115.753975659788,178.915311502879,720.979951628223,129,78,77,85,369,1.95387520766456,5,7,7,4,23,29.716,1.497,10.122,15.126,56.461
53,3,"e",187.931144730208,162.08919353975,58.9755879650267,74.9570222197451,483.952948454729,137,121,64,91,413,1.17179890667005,12,9,7,11,39,2.158,0.537,6.243,6.785,15.723
53,4,"n",58.8610675961322,180.251161206971,176.569478356834,119.98334757026,535.665054730197,47,119,160,70,396,1.35268953214696,9,16,27,5,57,13.702,17.381,40.996,12.614,84.693
54,1,"e",226.706907968701,224.062883922537,82.1154950603736,24.2544216966714,557.139708648283,114,121,44,20,299,1.86334350718489,6,1,4,5,16,0.307,19.34,0.292,7.077,27.016
54,2,"s",235.974112511077,192.065167012305,121.723459814681,80.07491366495,629.837653003013,132,127,61,75,395,1.5945257038051,5,10,7,11,33,36.694,43.661,15.326,33.32,129.001
54,3,"w",220.261385228043,64.8536842615436,205.514275207815,160.211445533963,650.840790231365,134,30,140,117,421,1.54594011931441,11,2,7,8,28,19.068,5.589,30.012,4.207,58.876
54,4,"n",72.5347367326109,200.363620572821,115.465939846119,236.19909912787,624.563396279421,59,98,50,113,320,1.95176061337319,8,10,3,6,27,22.169,21.946,2.894,4.999,52.008
55,1,"n",65.1361714194699,241.554443834731,111.130231015602,150.288051572267,568.10889784207,39,141,62,79,321,1.76980965059835,7,12,3,3,25,7.965,25.553,15.582,21.098,70.198
55,2,"e",231.571703178803,75.0659828597108,216.177861437037,294.779825832721,817.595373308272,118,54,93,128,393,2.08039535192945,4,5,2,3,14,0.004,0.099,0.001,0.028,0.132
55,3,"s",148.559857822957,98.8690915446738,100.764384374471,153.683708322233,501.877042064335,108,81,132,106,427,1.17535607040828,9,4,21,10,44,39.178,28.393,58.608,36.143,162.322
55,4,"w",239.502559121052,480.856376112711,209.806459409778,175.163703485572,1105.32909812911,188,260,105,89,642,1.72169641453133,10,18,4,7,39,33.13,14.675,0.055,2.205,50.065
56,1,"w",116.896517434074,142.222036386825,245.174999263269,118.764447226409,623.058000310577,67,78,130,73,348,1.7903965526166,3,3,6,6,18,22.011,19.718,27.017,12.344,81.09
56,2,"n",183.110463176448,78.9154314947875,166.486267720844,163.311930957405,591.824093349484,83,43,67,66,259,2.28503510945747,2,2,2,3,9,16.556,10.442,7.99,8.935,43.923
56,3,"e",191.661271318962,184.548358306906,58.6665490017536,71.328563029266,506.204741656888,87,108,37,42,274,1.84746256079156,3,6,2,3,14,0.008,0.012,0.148,10.502,10.67
56,4,"s",86.825088734654,221.870883439764,88.9065977479658,129.758945797436,527.36151571982,59,105,55,64,283,1.86346825342693,3,3,3,2,11,17.753,6.777,4.347,11.284,40.161
57,1,"e",210.694913259105,313.108319051669,100.33794586151,165.713084378034,789.854262550318,104,127,58,85,374,2.11190979291529,6,3,4,5,18,0.119,16.309,1.227,4.106,21.761
57,2,"s",343.544527485335,152.049817705619,84.4499975270626,49.5434885937102,629.587831311727,166,80,47,28,321,1.96133280782469,9,5,3,4,21,35.961,11.02,12.911,7.432,67.324
57,3,"n",227.23629377596,173.314430291531,212.84978577202,51.2553541551925,664.655863994703,160,85,97,26,368,1.806130065203,14,6,4,2,26,20.065,17.132,5.861,3.942,47
57,4,"w",222.110416214464,337.297558163697,501.631697569702,178.836683775297,1239.87635572316,114,133,313,103,663,1.870100084047,13,4,20,7,44,6.544,2.108,33.289,10.797,52.738
58,1,"n",66.5257936077182,234.949285398079,142.682562850228,148.67368211356,592.831323969585,49,96,75,60,280,2.1172547284628,2,3,4,3,12,16.481,3.627,15.728,9.203,45.039
58,2,"e",248.830200512051,103.048492727613,150.595316042473,118.469815249491,620.943824531627,92,42,60,52,246,2.52416188833995,4,3,1,3,11,0.006,0.003,0.001,0.001,0.011
58,3,"s",143.849247405809,119.318080428763,188.286507411411,110.474742302311,561.928577548295,65,63,105,53,286,1.96478523618285,2,4,5,2,13,6.873,0.542,16.475,0.003,23.893
58,4,"w",197.856322823243,282.448604110395,194.868521221479,166.43024154868,841.603689703796,102,132,79,81,394,2.1360499738675,6,6,4,2,18,9.514,1.062,1.057,10.206,21.839
59,1,"w",140.012178252607,168.877303597788,264.185432577887,164.353288693277,737.42820312156,71,84,138,91,384,1.92038594562906,2,4,8,9,23,16.608,2.055,33.631,12.325,64.619
59,2,"n",222.877855200528,77.8987578580981,174.580963765139,182.425991473939,657.783568297705,117,40,82,97,336,1.95768919136222,4,4,3,5,16,11.163,2.639,17.248,12.301,43.351
59,3,"e",516.251128302805,144.046687758667,215.411685876551,128.788331328468,1004.49783326649,276,76,144,111,607,1.65485639747363,27,4,19,3,53,1.682,0.011,13.979,15.995,31.667
59,4,"s",116.15601008072,223.925793746492,149.862240187151,158.418726491801,648.362770506165,93,115,110,75,393,1.64977804200042,14,9,20,3,46,11.404,5.346,14.569,12.868,44.187
60,1,"s",65.8618541343274,379.702874989865,196.038736186099,129.984233234852,771.587698545143,46,210,85,55,396,1.94845378420491,3,12,6,4,25,18.95,58.792,13.82,6.794,98.356
60,2,"w",647.969260959343,122.322161055896,151.103217312492,24.8961011810555,946.290740508786,251,49,67,16,383,2.47073300393939,3,1,4,2,10,25.287,3.697,3.054,6.198,38.236
60,3,"n",147.204537086294,158.873638481783,194.640756889572,44.8942441353623,545.613176593012,83,86,135,29,333,1.63847800778682,15,8,6,2,31,11.809,21.191,49.283,6.504,88.787
60,4,"e",607.517207450546,158.801917995316,579.616330095429,128.858760516065,1474.79421605736,250,93,359,95,797,1.85043188965791,14,8,20,8,50,0.589,0.396,14.468,25.167,40.62
61,1,"n",63.7894693158812,483.078278146042,83.5596338492123,135.394552970938,765.821934282074,36,193,44,70,343,2.23271700956873,2,5,4,2,13,13.7,30.361,8.92,15.104,68.085
61,2,"e",231.131753492686,81.5346669533985,378.211375439253,122.462158556798,813.339954442136,93,49,146,73,361,2.25301926438265,4,4,3,2,13,0.004,0.003,0.003,6.748,6.758
61,3,"s",151.036059036766,101.073657904135,69.4249592958973,319.790488781769,641.325165018567,71,60,44,148,323,1.98552682668287,5,5,4,7,21,12.116,16.309,17.758,18.06,64.243
61,4,"w",187.580055280351,291.323911117348,194.687715086128,132.530451339657,806.122132823484,86,119,103,63,371,2.17283593752961,6,3,4,5,18,6.325,8.913,10.308,6.456,32.002
62,1,"s",77.5418131879998,259.310834102148,30.0218790045739,244.059931467947,610.934457762668,64,155,19,135,373,1.63789398863986,4,4,2,6,16,16.349,37.765,5.808,28.023,87.945
62,2,"n",206.602232360258,94.4547522243986,250.143394636666,188.759103738468,739.95948295979,115,65,134,138,452,1.63707850212343,4,1,4,8,17,20.096,0.001,0.507,1.302,21.906
62,3,"e",657.927691326017,67.6620929942515,198.708519658315,126.376714122071,1050.67501810065,325,51,138,69,583,1.80218699502685,27,7,10,4,48,0.409,1.338,50.961,0.008,52.716
62,4,"w",211.179341103127,507.130110595472,248.690951082611,160.944327419041,1127.94473020025,127,276,149,106,658,1.71420171762956,12,17,21,6,56,21.366,24.869,106.784,0.537,153.556
63,1,"w",132.81463472414,144.699990378901,239.900011967338,164.674348514579,682.088985584958,77,66,115,82,340,2.00614407524988,5,2,4,11,22,18.844,11.953,19.608,6.577,56.982
63,2,"s",315.557579090258,156.229818010412,91.67976636756,60.6335263117862,624.100689780016,154,85,97,46,382,1.6337714392147,25,8,7,7,47,35.096,21.702,44.792,14.916,116.506
63,3,"n",148.33288656288,212.150453540983,204.927187696937,48.3674083017527,613.777936102554,94,109,99,40,342,1.79467232778524,17,9,7,4,37,18.273,5.629,15.521,12.719,52.142
63,4,"e",136.422725184317,124.224914365698,211.254846522558,164.578823400369,636.481309472941,75,70,102,84,331,1.92290425822641,7,8,4,5,24,1.757,12.604,0.01,1.107,15.478
8,1,"w",171.710181030492,337.475347483784,296.741356545726,189.42293379012,995.349818850121,127,172,128,157,584,1.70436612816802,5,9,10,11,35,42.657,2.166,2.878,66.589,114.29
8,2,"n",560.859116727308,115.336362252612,200.435690488937,77.4655982325035,954.09676770136,223,53,86,43,405,2.35579448815151,6,3,4,6,19,23.265,9.593,1.533,2.499,36.89
8,3,"e",234.861040172363,172.28903765369,72.0585552365926,102.322966393091,581.531599455736,109,95,47,56,307,1.89423973764084,8,6,5,5,24,0.016,0.011,4.353,8.62,13
8,4,"s",71.3792980760388,337.011985080129,311.712272760491,248.085710741118,968.189266657776,55,254,156,170,635,1.52470750654768,6,28,9,15,58,15.424,66.733,4.64,26.087,112.884
9,1,"e",213.700502013032,253.277968272581,83.8346548371217,26.3773150505003,577.190440173235,116,148,71,33,368,1.56845228307944,3,2,6,4,15,0.002,51.745,1.002,12.524,65.273
9,2,"s",281.623748055252,160.497641532167,81.5920139679676,43.5073260307086,567.220729586095,138,82,44,34,298,1.90342526706743,2,6,2,2,12,28.664,9.359,15.317,18.435,71.775
9,3,"n",142.164100512713,159.83942147987,212.184941995785,56.3127006662764,570.501164654645,90,115,178,55,438,1.30251407455398,9,9,16,10,44,24.788,32.601,58.621,18.74,134.75
9,4,"w",237.464690736584,496.237292401173,209.535518292016,175.533123743921,1118.77062517369,185,389,130,95,799,1.40021354840262,21,40,12,6,79,9.547,92.073,12.294,0.015,113.929
