participant,scenario,planning_time,navigation_time
8,1,121.19500000000001,461.721
8,2,44.069,359.89300000000003
8,3,58.031,248.46
8,4,72.901,562.6030000000001
9,1,152.907,215.555
9,2,74.366,224.68800000000002
9,3,68.684,369.273
9,4,57.726,741.033
10,1,53.834,221.68800000000002
10,2,34.926,364.646
10,3,65.024,535.703
10,4,114.824,418.201
12,1,64.471,318.357
12,2,56.513,370.742
12,3,76.895,537.129
12,4,45.782000000000004,389.297
13,1,34.673,220.30700000000002
13,2,22.554,223.195
13,3,39.172000000000004,224.079
13,4,22.173,454.685
15,1,21.246,294.772
15,2,110.68900000000001,275.443
15,3,77.86500000000001,535.115
15,4,59.145,859.797
16,1,62.606,271.827
16,2,36.556,459.502
16,3,47.041000000000004,303.743
16,4,59.269000000000005,651.518
17,1,64.754,347.35200000000003
17,2,59.961,366.946
17,3,85.081,545.248
17,4,50.679,352.778
18,1,32.188,274.448
18,2,50.319,407.259
18,3,52.143,347.007
18,4,18.002,224.17700000000002
19,1,34.818,269.016
19,2,17.277,217.403
19,3,74.786,290.486
19,4,21.464,284.604
20,1,72.116,276.86
20,2,160.802,119.816
20,3,123.569,86.637
20,4,46.772,356.817
21,1,39.712,321.933
21,2,17.346,525.516
21,3,27.881,438.409
21,4,11.738,249.225
22,1,89.535,400.81100000000004
22,2,60.853,292.52
22,3,72.651,418.797
22,4,52.755,278.76
23,1,20.565,222.354
23,2,28.467,354.697
23,3,47.008,415.641
23,4,28.894000000000002,548.9110000000001
24,1,44.627,329.889
24,2,31.48,342.51300000000003
24,3,36.446000000000005,302.318
24,4,68.287,403.445
25,1,40.782000000000004,235.302
25,2,28.32,242.24200000000002
25,3,26.172,360.356
25,4,21.985,447.808
26,1,44.772,312.472
26,2,55.517,356.719
26,3,42.072,485.048
26,4,76.509,399.80400000000003
27,1,135.133,177.578
27,2,17.502,250.717
27,3,63.977000000000004,190.667
27,4,18.164,217.71800000000002
28,1,23.112000000000002,220.887
28,2,29.015,310.154
28,3,54.176,246.43
28,4,45.492000000000004,223.303
29,1,103.69200000000001,360.69100000000003
29,2,69.806,400.22200000000004
29,3,66.273,247.24300000000002
29,4,26.192,385.271
30,1,56.410000000000004,261.666
30,2,75.94200000000001,366.58
30,3,79.883,394.242
30,4,47.049,463.55600000000004
31,1,67.982,369.356
31,2,41.535000000000004,259.844
31,3,66.797,503.89000000000004
31,4,57.422000000000004,522.695
32,1,42.683,294.296
32,2,73.537,359.943
32,3,49.243,296.52000000000004
32,4,89.895,331.224
33,1,105.872,340.151
33,2,90.659,366.418
33,3,81.214,301.433
33,4,55.944,233.141
34,1,163.369,249.71200000000002
34,2,101.248,394.039
34,3,128.203,397.717
34,4,241.75400000000002,122.31
35,1,26.35,204.785
35,2,42.388,189.169
35,3,58.036,253.119
35,4,14.697000000000001,426.748
36,1,78.961,267.045
36,2,44.59,250.037
36,3,61.494,247.48700000000002
36,4,73.57000000000001,374.59200000000004
37,1,141.994,588.366
37,2,76.635,477.279
37,3,60.619,850.6800000000001
37,4,64.638,400.53000000000003
38,1,48.436,446.153
38,2,71.93900000000001,462.237
38,3,98.414,730.248
38,4,73.536,641.529
39,1,31.512,258.576
39,2,21.995,336.204
39,3,60.805,348.267
39,4,35.739,482.421
40,1,62.391,284.997
40,2,15.996,358.842
40,3,39.661,277.612
40,4,44.047000000000004,257.822
41,1,86.889,346.762
41,2,86.70400000000001,276.957
41,3,84.027,342.074
41,4,89.657,422.916
42,1,36.181,202.91400000000002
42,2,29.059,245.43200000000002
42,3,32.384,213.16500000000002
42,4,20.701,367.87100000000004
43,1,78.015,352.301
43,2,86.60900000000001,243.465
43,3,90.842,359.19
43,4,67.59400000000001,251.596
44,1,97.081,212.417
44,2,59.97,299.005
44,3,69.834,329.55
44,4,64.473,308.838
45,1,29.693,284.081
45,2,246.21800000000002,93.774
45,3,265.084,149.374
45,4,59.695,289.083
46,1,24.138,221.431
46,2,28.266000000000002,325.175
46,3,23.864,269.793
46,4,22.379,567.36
47,1,18.865,268.368
47,2,15.013,249.964
47,3,72.223,276.272
47,4,24.004,209.98000000000002
48,1,49.688,287.344
48,2,60.509,454.896
48,3,47.026,272.954
48,4,35.073,289.951
49,1,77.755,297.784
49,2,28.811,342.701
49,3,46.803000000000004,357.671
49,4,121.542,181.978
50,1,24.756,294.993
50,2,63.173,377.151
50,3,51.571,286.736
50,4,62.713,201.98000000000002
51,1,39.962,291.78000000000003
51,2,107.28,505.36
51,3,66.387,690.918
51,4,54.266,303.116
52,1,79.153,334.779
52,2,62.524,316.454
52,3,49.142,233.496
52,4,71.219,428.416
53,1,37.486,372.45
53,2,43.383,325.509
53,3,31.129,382.572
53,4,25.473000000000003,370.034
54,1,60.834,237.381
54,2,66.483,327.462
54,3,38.998,381.211
54,4,37.35,281.92900000000003
55,1,40.101,278.999
55,2,42.785000000000004,350.416
55,3,98.173,328.067
55,4,68.072,573.5
56,1,49.888,296.995
56,2,25.443,233.842
56,3,34.707,238.636
56,4,48.258,235.16500000000002
57,1,73.306,301.728
57,2,42.454,277.98
57,3,21.826,346.772
57,4,26.847,636.138
58,1,16.317,263.384
58,2,19.183,226.76000000000002
58,3,30.746000000000002,255.20000000000002
58,4,31.213,361.10900000000004
59,1,46.238,336.62
59,2,37.177,299.084
59,3,71.617,535.109
59,4,50.405,342.361
60,1,212.107,182.927
60,2,27.606,355.605
60,3,197.085,136.722
60,4,84.363,712.1890000000001
61,1,62.403,280.044
61,2,32.972,327.307
61,3,51.561,271.475
61,4,31.707,339.28700000000003
62,1,57.509,315.684
62,2,109.986,340.479
62,3,121.697,460.79900000000004
62,4,47.198,610.933
63,1,46.558,293.891
63,2,78.596,303.629
63,3,50.967,289.221
63,4,43.642,287.39
