,participant,scenario,planning_stop_time_seconds,navigation_stop_time_seconds
0,8,1,55.66,60.02
1,8,2,30.32,6.07
2,8,3,11.22,2.43
3,8,4,47.86,61.92
4,9,1,56.05,9.26
5,9,2,58.09,14.73
6,9,3,64.01,70.65
7,9,4,21.68,76.0
8,10,1,16.25,6.38
9,10,2,13.49,0.09
10,10,3,49.07,31.73
11,10,4,6.72,2.3
12,12,1,64.47,34.47
13,12,2,22.12,16.39
14,12,3,69.97,60.51
15,12,4,17.29,33.98
16,13,1,30.09,10.64
17,13,2,8.54,0.6
18,13,3,37.04,18.57
19,13,4,0.56,13.3
20,15,1,17.85,17.52
21,15,2,3.51,8.31
22,15,3,15.82,20.05
23,15,4,4.48,63.47
24,16,1,13.86,1.92
25,16,2,27.71,75.12
26,16,3,41.68,35.49
27,16,4,58.2,126.37
28,17,1,43.39,33.94
29,17,2,48.52,38.99
30,17,3,108.94,34.12
31,17,4,8.98,8.27
32,18,1,32.19,44.78
33,18,2,49.0,37.78
34,18,3,47.14,44.4
35,18,4,0.01,1.7
36,19,1,14.44,21.01
37,19,2,13.76,15.56
38,19,3,56.64,50.06
39,19,4,20.4,42.61
40,20,1,72.12,27.89
41,20,2,8.12,0.94
42,20,3,29.86,3.68
43,20,4,22.6,10.81
44,21,1,39.71,41.5
45,21,2,9.05,8.97
46,21,3,0.09,2.27
47,21,4,10.56,20.85
48,22,1,23.56,17.08
49,22,2,42.4,18.27
50,22,3,59.82,52.96
51,22,4,43.14,33.33
52,23,1,9.76,19.5
53,23,2,3.27,23.46
54,23,3,45.67,32.97
55,23,4,13.43,13.56
56,24,1,43.61,40.07
57,24,2,31.48,42.51
58,24,3,0.09,8.0
59,24,4,59.38,31.6
60,25,1,17.66,14.03
61,25,2,28.32,19.73
62,25,3,16.43,34.28
63,25,4,8.98,19.52
64,26,1,33.28,26.89
65,26,2,0.51,1.77
66,26,3,24.05,55.62
67,26,4,25.58,18.09
68,27,1,47.74,13.48
69,27,2,14.95,15.99
70,27,3,5.97,1.01
71,27,4,17.03,7.41
72,28,1,22.74,13.42
73,28,2,18.04,5.52
74,28,3,47.2,4.56
75,28,4,1.75,1.96
76,29,1,103.69,39.74
77,29,2,0.69,15.94
78,29,3,58.73,27.64
79,29,4,25.37,31.81
80,30,1,55.89,39.27
81,30,2,75.98,86.2
82,30,3,0.77,15.95
83,30,4,18.75,33.8
84,31,1,63.02,70.61
85,31,2,32.75,11.21
86,31,3,39.27,45.29
87,31,4,0.02,9.37
88,32,1,14.01,15.11
89,32,2,38.95,21.29
90,32,3,38.07,15.55
91,32,4,70.32,28.44
92,33,1,76.33,34.84
93,33,2,89.57,41.41
94,33,3,75.23,29.93
95,33,4,7.05,0.62
96,34,1,148.68,53.73
97,34,2,67.88,21.27
98,34,3,92.79,89.69
99,34,4,65.4,4.4
100,35,1,9.27,2.83
101,35,2,15.84,4.37
102,35,3,36.88,24.77
103,35,4,14.25,118.36
104,36,1,78.96,42.44
105,36,2,0.61,0.11
106,36,3,57.61,27.49
107,36,4,29.74,11.31
108,37,1,137.92,56.89
109,37,2,54.84,35.82
110,37,3,9.44,312.97
111,37,4,47.9,40.82
112,38,1,18.45,5.72
113,38,2,70.75,27.1
114,38,3,82.58,31.93
115,38,4,70.39,41.23
116,39,1,29.47,31.62
117,39,2,0.04,34.14
118,39,3,54.85,43.98
119,39,4,24.28,30.8
120,40,1,46.95,10.06
121,40,2,14.79,61.6
122,40,3,1.2,0.24
123,40,4,39.12,35.08
124,41,1,13.85,16.18
125,41,2,86.7,51.8
126,41,3,75.53,52.34
127,41,4,65.56,21.47
128,42,1,25.44,16.82
129,42,2,0.03,1.29
130,42,3,24.9,20.07
131,42,4,15.91,9.38
132,43,1,22.94,9.8
133,43,2,39.05,5.82
134,43,3,21.12,11.68
135,43,4,15.49,1.1
136,44,1,97.08,23.02
137,44,2,39.4,8.9
138,44,3,60.85,22.46
139,44,4,0.08,12.77
140,45,1,28.21,16.89
141,45,2,13.52,2.44
142,45,3,28.92,0.55
143,45,4,4.57,1.93
144,46,1,24.14,17.73
145,46,2,28.27,58.93
146,46,3,3.61,4.63
147,46,4,10.98,6.42
148,47,1,15.16,21.62
149,47,2,12.93,18.0
150,47,3,62.18,21.86
151,47,4,7.34,3.06
152,48,1,35.35,20.46
153,48,2,48.59,16.46
154,48,3,44.55,25.01
155,48,4,31.54,14.68
156,49,1,66.37,23.22
157,49,2,28.81,62.64
158,49,3,41.79,46.3
159,49,4,7.8,2.13
160,50,1,23.49,26.63
161,50,2,49.44,22.88
162,50,3,43.87,17.03
163,50,4,2.59,4.06
164,51,1,15.77,2.39
165,51,2,46.03,16.29
166,51,3,57.7,75.23
167,51,4,47.39,32.96
168,52,1,55.46,61.04
169,52,2,2.58,0.0
170,52,3,37.75,21.34
171,52,4,38.54,30.96
172,53,1,37.51,68.46
173,53,2,33.28,23.23
174,53,3,1.24,14.12
175,53,4,23.66,60.45
176,54,1,25.21,1.86
177,54,2,64.77,65.24
178,54,3,19.75,36.43
179,54,4,28.74,24.06
180,55,1,37.43,34.29
181,55,2,2.07,0.16
182,55,3,91.9,70.77
183,55,4,31.54,18.38
184,56,1,47.84,33.25
185,56,2,25.44,18.48
186,56,3,8.34,2.33
187,56,4,31.68,9.05
188,57,1,17.24,4.57
189,57,2,39.36,27.46
190,57,3,20.26,27.33
191,57,4,17.12,34.54
192,58,1,13.61,31.43
193,58,2,0.0,0.08
194,58,3,13.33,10.63
195,58,4,11.77,9.78
196,59,1,24.68,39.34
197,59,2,36.56,6.28
198,59,3,24.49,3.24
199,59,4,21.41,21.28
200,60,1,68.32,27.95
201,60,2,21.32,17.3
202,60,3,68.95,18.13
203,60,4,0.15,39.7
204,61,1,62.4,6.19
205,61,2,4.15,2.2
206,61,3,48.57,17.69
207,61,4,24.99,8.64
208,62,1,57.51,30.44
209,62,2,14.96,6.95
210,62,3,28.62,24.01
211,62,4,16.99,31.84
212,63,1,35.04,22.56
213,63,2,78.6,38.72
214,63,3,32.07,19.76
215,63,4,9.42,5.71
